"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2022-09-01","1972.98","1982.34","1953.58","1972.29","-0.05 %","1,383,462,162.06"
"NEPSE","2022-08-31","1993.38","1996.89","1968.41","1973.38","-1.10 %","1,126,217,861.98"
"NEPSE","2022-08-30","1993.47","2012.18","1987.39","1995.21","0.11 %","1,019,516,696.19"
"NEPSE","2022-08-29","1989.37","1995.78","1975.07","1993.02","0.19 %","1,266,619,150.42"
"NEPSE","2022-08-28","2022.32","2022.76","1987.04","1989.26","-1.65 %","2,059,737,103.36"
"NEPSE","2022-08-26","2040.47","2040.46","2018.18","2022.62","-0.83 %","1,294,832,820.01"
"NEPSE","2022-08-25","2058.01","2068.55","2035.69","2039.55","-0.89 %","1,717,469,670.13"
"NEPSE","2022-08-24","2054.99","2073.54","2052.13","2057.85","0.14 %","1,526,186,217.86"
"NEPSE","2022-08-23","2053.35","2060.21","2048.8","2054.95","0.09 %","1,333,560,857.30"
"NEPSE","2022-08-22","2061.03","2065.81","2043.72","2053.13","-0.36 %","1,726,287,429.59"
"NEPSE","2022-08-21","2070.06","2089.25","2055.78","2060.55","-0.37 %","2,047,093,688.57"
"NEPSE","2022-08-18","2041.71","2072.37","2041.71","2068.26","1.35 %","2,057,980,056.55"
"NEPSE","2022-08-17","2043.62","2053.09","2035.38","2040.7","-0.02 %","1,405,974,256.30"
"NEPSE","2022-08-16","2069.38","2088.23","2035.47","2041.06","-1.20 %","2,734,853,057.66"
"NEPSE","2022-08-15","2007.19","2065.9","2007.19","2065.89","2.78 %","2,432,984,611.90"
"NEPSE","2022-08-14","2035.32","2043.03","2007.68","2010.01","-1.37 %","1,873,281,897.06"
"NEPSE","2022-08-11","2059.83","2074.73","2036.8","2037.92","-0.92 %","1,761,023,038.84"
"NEPSE","2022-08-10","2064.39","2074.92","2042.62","2056.88","-0.29 %","1,935,520,146.52"
"NEPSE","2022-08-09","2109.79","2112.71","2060.31","2062.8","-2.06 %","2,815,144,598.32"
"NEPSE","2022-08-08","2128.19","2140.26","2102.25","2106.15","-0.83 %","2,857,072,961.40"
"NEPSE","2022-08-07","2109.41","2133.62","2107.49","2123.82","0.49 %","2,673,338,232.36"
"NEPSE","2022-08-05","2150.47","2150.58","2108.34","2113.3","-1.62 %","2,626,154,947.80"
"NEPSE","2022-08-04","2191.49","2193.35","2147.7","2148.16","-1.77 %","3,768,079,173.01"
"NEPSE","2022-08-03","2196.13","2214.05","2183.09","2186.77","-0.31 %","4,029,931,439.76"
"NEPSE","2022-08-02","2198.06","2202.88","2170.25","2193.43","-0.13 %","3,293,234,705.73"
"NEPSE","2022-08-01","2205.77","2224.48","2183.22","2196.25","0.05 %","4,670,798,756.40"
"NEPSE","2022-07-31","2142.31","2195.35","2142.3","2195.1","2.55 %","4,609,971,271.66"
"NEPSE","2022-07-29","2130.32","2147.63","2117.31","2140.39","0.61 %","2,191,619,914.28"
"NEPSE","2022-07-28","2113.35","2156.39","2105.7","2127.42","0.73 %","4,976,433,105.03"
"NEPSE","2022-07-27","2089.01","2112.11","2065.96","2111.99","1.14 %","3,161,455,141.99"
"NEPSE","2022-07-26","2134.14","2141.61","2085.83","2088.16","-2.10 %","3,704,998,398.24"
"NEPSE","2022-07-25","2081.98","2134.62","2081.65","2132.96","2.62 %","4,106,818,941.37"
"NEPSE","2022-07-24","2027.8","2078.51","2027.66","2078.51","3.03 %","2,730,937,196.52"
"NEPSE","2022-07-22","2046.62","2047.29","2013.46","2017.46","-1.33 %","1,443,432,770.47"
"NEPSE","2022-07-21","2052.95","2066.07","2038.33","2044.72","-0.29 %","1,642,648,586.50"
"NEPSE","2022-07-20","2046.21","2061.56","2033.28","2050.59","0.24 %","1,731,832,270.05"
"NEPSE","2022-07-19","2029.71","2062.36","2028.17","2045.63","0.80 %","2,299,316,326.29"
"NEPSE","2022-07-18","2011.71","2029.46","2000.14","2029.43","0.90 %","1,312,962,959.62"
"NEPSE","2022-07-17","2010.92","2018.97","1994.75","2011.39","0.10 %","1,232,488,082.72"
"NEPSE","2022-07-15","2002.96","2009.89","1989.19","2009.46","0.40 %","1,456,259,832.87"
"NEPSE","2022-07-14","1987.32","2012.16","1977.14","2001.53","0.74 %","2,411,834,599.35"
"NEPSE","2022-07-13","1928.5","1986.82","1928.5","1986.82","3.09 %","2,044,443,007.47"
"NEPSE","2022-07-12","1916.41","1947.54","1908.59","1927.28","0.61 %","1,707,752,977.83"
"NEPSE","2022-07-11","1993.33","1993.55","1912.49","1915.61","-3.86 %","2,325,641,022.26"
"NEPSE","2022-07-08","2031.87","2033.4","1988.43","1992.61","-1.71 %","1,168,451,395.02"
"NEPSE","2022-07-07","2051.5","2080.96","2023.01","2027.32","-0.81 %","1,806,204,764.99"
"NEPSE","2022-07-06","2036.46","2047.37","1994.54","2043.92","0.66 %","2,178,655,700.71"
"NEPSE","2022-07-05","2078.63","2091.88","2025.57","2030.59","-2.22 %","2,968,485,223.95"
"NEPSE","2022-07-04","2095.62","2148.61","2059","2076.67","-0.47 %","4,349,273,593.21"
"NEPSE","2022-07-03","2028.79","2086.38","2020.96","2086.38","2.84 %","2,480,473,998.90"
"NEPSE","2022-07-01","2041.94","2053.98","2015.56","2028.77","-0.44 %","1,459,312,015.14"
"NEPSE","2022-06-30","1966.86","2037.64","1966.85","2037.64","3.82 %","2,458,619,494.89"
"NEPSE","2022-06-29","1924.91","1963.77","1915.19","1962.71","2.15 %","1,431,400,640.64"
"NEPSE","2022-06-28","1935.54","1936.01","1908.74","1921.31","-0.61 %","1,058,263,522.26"
"NEPSE","2022-06-27","1967.3","1987.59","1931.17","1933.13","-1.22 %","2,044,831,947.71"
"NEPSE","2022-06-26","1863.47","1957.09","1863.43","1956.98","5.10 %","2,196,141,848.83"
"NEPSE","2022-06-24","1848.38","1879.45","1806.95","1862.06","0.75 %","1,151,208,031.19"
"NEPSE","2022-06-23","1889.4","1889.4","1835.88","1848.28","-2.39 %","1,499,709,634.92"
"NEPSE","2022-06-22","1925.46","1926.99","1889.7","1893.53","-1.62 %","843,773,459.03"
"NEPSE","2022-06-21","1884.25","1931.91","1877.8","1924.74","2.12 %","1,253,757,714.92"
"NEPSE","2022-06-20","1934.03","1934.64","1879.69","1884.81","-2.55 %","1,750,600,171.42"
"NEPSE","2022-06-19","1971.84","1974.22","1928.19","1934.11","-1.89 %","1,134,091,212.36"
"NEPSE","2022-06-17","1981.21","1991.58","1966.85","1971.36","-0.38 %","736,312,157.99"
"NEPSE","2022-06-16","1966.89","1993.95","1950.76","1978.94","0.64 %","1,187,145,518.65"
"NEPSE","2022-06-15","1999.05","1999.08","1945.42","1966.37","-1.50 %","1,491,758,817.38"
"NEPSE","2022-06-14","2032.53","2034.81","1990.32","1996.26","-1.78 %","1,185,546,179.44"
"NEPSE","2022-06-13","2049.31","2052.47","2027.05","2032.34","-0.77 %","998,674,262.44"
"NEPSE","2022-06-10","2067.76","2070.01","2036.55","2048.16","-0.71 %","894,124,114.10"
"NEPSE","2022-06-09","2082.45","2115.6","2058.28","2062.8","-0.85 %","1,472,690,554.25"
"NEPSE","2022-06-08","2019.54","2096.18","2017.25","2080.44","2.98 %","1,640,356,608.05"
"NEPSE","2022-06-07","2065.19","2065.19","2016.78","2020.23","-2.21 %","1,312,806,562.65"
"NEPSE","2022-06-06","2079.6","2093.95","2054.13","2065.82","-0.62 %","1,273,385,276.83"
"NEPSE","2022-06-03","2113.13","2117.4","2071.93","2078.7","-1.60 %","1,307,359,540.81"
"NEPSE","2022-06-02","2130.35","2142.65","2107.77","2112.47","-0.86 %","1,161,514,168.66"
"NEPSE","2022-06-01","2138.06","2154.58","2119.41","2130.71","-0.34 %","1,078,484,181.95"
"NEPSE","2022-05-31","2172.02","2172.01","2126.39","2137.92","-1.63 %","1,317,699,089.63"
"NEPSE","2022-05-30","2227.43","2233.54","2173.44","2173.44","-2.26 %","1,338,856,282.37"
"NEPSE","2022-05-27","2242.46","2250.69","2214.64","2223.78","-0.71 %","1,298,905,589.58"
"NEPSE","2022-05-26","2240.61","2245.42","2222.89","2239.6","0.36 %","889,834,908.60"
"NEPSE","2022-05-25","2222.49","2243.57","2222.01","2231.57","0.65 %","1,044,626,939.46"
"NEPSE","2022-05-24","2203.14","2227.87","2190.52","2217.19","0.74 %","1,088,833,541.73"
"NEPSE","2022-05-23","2241.26","2249.62","2191.03","2200.88","-1.53 %","1,369,513,191.50"
"NEPSE","2022-05-20","2251.49","2258.51","2231.33","2235.09","-0.70 %","932,206,084.34"
"NEPSE","2022-05-19","2274.8","2282.88","2247.6","2250.91","-1.03 %","1,300,981,996.44"
"NEPSE","2022-05-18","2262.99","2281.96","2237.98","2274.42","0.39 %","1,326,320,346.01"
"NEPSE","2022-05-17","2350.43","2350.43","2263.3","2265.52","-3.61 %","1,644,096,192.86"
"NEPSE","2022-05-12","2373.38","2389.07","2343.33","2350.42","-0.79 %","2,328,434,272.93"
"NEPSE","2022-05-11","2313.28","2369.17","2313.28","2369.06","2.42 %","2,163,990,743.33"
"NEPSE","2022-05-10","2269.36","2314.63","2268.76","2313","1.95 %","1,356,687,468.50"
"NEPSE","2022-05-09","2263.06","2289.84","2255.45","2268.84","0.54 %","1,390,607,701.94"
"NEPSE","2022-05-08","2238.81","2256.64","2204.37","2256.57","0.80 %","1,326,421,671.70"
"NEPSE","2022-05-05","2275.43","2275.42","2225.79","2238.62","-1.63 %","1,654,561,472.54"
"NEPSE","2022-05-04","2310.51","2312.07","2269.73","2275.68","-1.38 %","1,269,219,421.49"
"NEPSE","2022-05-02","2358.24","2359.4","2303.26","2307.44","-2.07 %","1,423,498,292.37"
